,0
0,8252.295037301832
1,7826.894697913238
2,7828.8473094491665
3,7735.7785667087755
4,7732.111787802504
5,7800.769106564599
6,8010.710372022661
7,7567.568913288173
8,7814.186724364647
9,7798.108339243343
10,8059.628235584538
11,8118.305889510596
12,8133.438576608097
13,8133.438576608097
14,7975.215885826083
15,7904.318121306049
16,7867.621811751315
17,7464.05862703488
18,7811.111199011733
19,8128.430718101239
20,8099.8346118225345
21,7862.316277412944
22,7691.853884664875
23,7763.83327497935
24,7630.100705385903
25,7701.83742490384
26,8096.305940875554
27,8048.138490548551
28,7850.809424620687
29,7794.391279686563
30,7692.140966910232
31,7580.007711798407
32,7798.3280100710235
33,7898.833775110511
34,8039.827195597419
35,7926.442754187456
36,7675.05558539085
37,7291.742854470788
38,7636.722410366004
39,7747.080113712613
40,7958.507402932424
41,7859.271459187111
42,7940.7170952563
43,7775.947335768517
44,7643.913582339648
45,7978.948240853016
46,7996.575270290182
47,7636.477333983698
48,7883.028661280123
49,8026.965911048176
50,7796.09084720388
51,7648.209991226161
52,8036.048418048086
53,8052.239712498272
54,7784.055264962406
55,7814.445905720401
56,7710.403271313194
57,7490.258524206073
58,6989.388994866771
59,7192.918940785389
60,7856.374669209225
61,7877.981104970728
62,7619.840161725136
63,7601.29585879733
64,7481.397158656659
65,7343.299122914698
66,7896.525407898533
67,7601.29585879733
68,7619.840161725136
69,7619.840161725136
70,7925.121514177237
71,7562.627671278999
72,7569.391758479585
73,7628.020746849581
74,7570.040148526715
75,7887.452866049779
76,7905.997168977586
77,7905.997168977586
78,7375.5588374027475
79,7302.498163043568
80,7916.048972328484
81,7934.5932752562885
82,7934.5932752562885
83,7894.490316185331
84,7558.533295734459
85,7353.148995897208
86,7434.329665144131
87,7126.490155690963
88,7558.533295734459
89,7923.086422464033
90,7923.086422464033
91,7550.154276901207
92,7073.431738433358
93,7477.656145395798
94,7852.647879531545
95,7679.732596320869
96,7896.525407898533
97,7870.966028989435
98,7550.154276901207
99,7073.431738433358
100,7303.998312954502
101,7628.020746849581
102,7877.981104970728
103,7727.319298867215
104,7755.91540514592
105,7765.387166224971
106,7082.90349951241
107,7140.671100518139
108,7477.3589407460695
109,7736.7910599462675
110,7916.048972328484
111,7219.261609344455
112,7043.3261532028055
113,6621.422760102136
114,6616.810532306574
115,7194.538053191864
116,6715.105152632999
117,7128.60398974869
118,7286.59652999297
119,7357.205830083278
120,6509.773200690532
121,6806.91001990031
